Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long
96668,25/07/2020 06:05,6011100000000000.0,fraud_Pacocha-O'Reilly,grocery_pos,86.39,Valerie,Davis,F,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,02/09/1985,3901d37f039fef0eb5346df909eee891,1374732316,37.76872,-77.816162
38659,05/07/2020 00:48,30560600000000.0,fraud_Bednar Group,misc_net,7.92,Michael,Olson,M,558 Michael Estates,Luray,MO,63453,40.4931,-91.8912,519,Town planner,13/02/1966,a4c4b66303a080c37e05055af4ac3d7a,1372985307,40.750661,-91.184796
100564,26/07/2020 16:24,30407700000000.0,"fraud_Graham, Hegmann and Hammes",food_dining,101.82,Danielle,Evans,F,76752 David Lodge Apt. 064,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,13/10/1991,a8c486b3ee38ddeaeaca0ee30a410db2,1374855842,41.85062,-76.393419
45522,06/07/2020 20:39,4348790000000000.0,"fraud_Denesik, Powlowski and Pouros",home,74.82,John,Nichols,M,862 Anderson Highway,Bryant,WI,54418,45.203,-88.9983,1080,Information systems manager,08/01/1979,f95847b27a2975e02cd9d626c14926c2,1373143162,44.33048,-88.347458
84036,20/07/2020 14:29,30270400000000.0,fraud_Beier-Hyatt,shopping_pos,4.78,Lisa,Lin,F,908 Brooks Brook,Lomax,IL,61454,40.6761,-91.0391,725,Environmental consultant,28/11/1972,eb4a5e117d7da24f0bca6d35aa12e0b3,1374330596,40.721627,-91.677471
163126,17/08/2020 14:07,3540860000000000.0,fraud_Pollich LLC,home,9.53,Nancy,Roach,F,376 Brown Courts,Yellowstone National Park,WY,82190,44.7957,-110.6137,369,Materials engineer,16/11/1941,f5e84a949327c03b6b39fea2ae320ead,1376748467,45.249369,-110.818692
187434,25/08/2020 17:08,38052000000000.0,fraud_Reilly LLC,home,52.84,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,11/09/1995,28273ef3c9cb049cf1c3301e5bc82e1d,1377450536,29.799572,-95.354223
289174,07/10/2020 09:28,4.51283e+18,"fraud_Robel, Cummerata and Prosacco",gas_transport,81.37,Monica,Cohen,F,864 Reynolds Plains,Uledi,PA,15484,39.8936,-79.7856,328,Tree surgeon,25/07/1983,0bc390295164743d788396e2afcdd36b,1381138101,39.104194,-79.799255
408623,29/11/2020 16:24,30407700000000.0,fraud_Ullrich Ltd,kids_pets,21.86,Danielle,Evans,F,76752 David Lodge Apt. 064,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,13/10/1991,bb7bfc3994c40f45b6eff39d81d9e9da,1385742261,42.972823,-76.945819
104979,27/07/2020 19:45,4482430000000000.0,fraud_Kassulke Inc,entertainment,159.56,Leslie,Ford,F,4938 Hatfield Course,Henderson,WV,25106,38.8265,-82.1364,642,Building services engineer,30/08/1946,0d64e6d6b9805a4ba89b242b616b193a,1374954311,38.088334,-81.979019
494738,18/12/2020 16:40,4.86131e+18,fraud_Waters-Cruickshank,health_fitness,52.91,Ashley,Cruz,F,65417 Walsh Radial Suite 691,Saint Amant,LA,70774,30.2385,-90.8435,10076,"Surveyor, rural practice",16/12/1977,fda4b2655227b4b2b664ab3916dcc288,1387384847,29.826605,-90.257813
505465,21/12/2020 00:56,6011110000000000.0,fraud_McGlynn-Heathcote,misc_net,25.22,Rebecca,Erickson,F,594 Berry Lights Apt. 392,Wilmington,NC,28405,34.2651,-77.867,186140,English as a second language teacher,08/02/1983,57a20ecd76efb41d8d867d1e52cbb072,1387587413,33.336616,-77.047686
246967,19/09/2020 15:12,4149640000000.0,fraud_Gleason and Sons,kids_pets,2.76,Samuel,Farrell,M,428 Michael Tunnel Apt. 377,Cleveland,AL,35049,33.9778,-86.5598,3996,Aid worker,14/06/1977,64e444ef0e341562eeb592d10fbcb6e3,1379603542,33.662958,-85.638488
474162,14/12/2020 03:31,4.45773e+18,fraud_Jaskolski-Dibbert,grocery_net,55.53,Stanley,Mayo,M,3433 Jones Branch,Fiddletown,CA,95629,38.5234,-120.6763,832,Immigration officer,19/05/1987,eb5e19dcfec2da661c98f224320c5505,1386991870,38.321202,-121.377851
77687,18/07/2020 16:53,3543590000000000.0,fraud_Monahan-Morar,personal_care,40.35,Margaret,Lam,F,6911 Nicholas Keys Apt. 237,Armagh,PA,15920,40.4603,-79.0097,922,Early years teacher,04/10/1972,b266f6ef8241a7e4da8d5b4a1df07967,1374166419,40.703953,-79.374433
90849,22/07/2020 13:46,343746000000000.0,fraud_Reynolds-Schinner,misc_pos,5.52,Jeffrey,Munoz,M,836 Stephanie Union,Cedar,MI,49621,44.8605,-85.8138,3096,"Social research officer, government",11/10/1975,579a255a274bddffca7656677f7dbd7b,1374500777,44.835147,-86.076701
