,Unnamed: 0.1,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long
0,0,330652,26/10/2020 03:35,4988300000000.0,fraud_Prohaska-Murray,gas_transport,43.63,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,17/03/1937,b7f97a4c4aecc3162bbc83aa9ff07b0c,1382758551,40.676759,-74.381962
1,1,485480,15/12/2020 22:39,3547570000000000.0,fraud_Daugherty LLC,kids_pets,105.41,Jacob,Patel,M,54822 Hill Forks,Dieterich,IL,62424,39.0319,-88.4074,2092,"Psychologist, clinical",30/04/1962,b3d3e3e52b7c4293338ec1966e2e0a68,1387147198,38.612299,-88.686008
2,2,331571,26/10/2020 12:13,371009000000000.0,"fraud_Ferry, Lynch and Kautzer",misc_net,1.95,Randall,Burgess,M,393 Carroll Route Suite 197,Norman Park,GA,31771,31.2462,-83.6549,5666,Rural practice surveyor,14/09/2003,ac39f484a5b850aadf8adb70c723e1c2,1382789583,31.763364,-83.008062
3,3,420690,01/12/2020 18:46,676195000000.0,"fraud_Turner, Ziemann and Lehner",food_dining,1.8,Brandy,Quinn,F,9734 Beard Fields Suite 885,Altair,TX,77412,29.6047,-96.5249,106,"Editor, film/video",24/07/1983,f541d7aaa7b91391053e3f0ec98edbd5,1385923610,30.013265,-95.764172
4,4,177547,22/08/2020 23:04,4.22371e+18,"fraud_Denesik, Powlowski and Pouros",home,81.53,Adam,Riddle,M,27718 Mason Bypass,Mount Saint Joseph,OH,45051,39.0965,-84.6431,177,Exhibition designer,30/05/1974,77e63482698e7b60eea5f1a860a7fe63,1377212649,40.019792,-85.29438
5,5,293353,09/10/2020 19:56,3598220000000000.0,fraud_Denesik and Sons,shopping_pos,1.37,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",21/10/1970,53cc780bbbfd30283562b357eb87905b,1381348598,40.905683,-73.34449
6,6,542198,28/12/2020 21:03,4873780000000000.0,fraud_Gottlieb Group,kids_pets,5.08,Elizabeth,Maxwell,F,194 Goodman Fall Apt. 569,Burlington,WA,98233,48.4786,-122.3345,14871,Public house manager,10/03/1974,a5f28f563756ec1e7265f47dc982bd56,1388264582,48.614754,-122.789486
7,7,83415,20/07/2020 11:12,568279000000.0,fraud_Rempel PLC,grocery_net,48.55,Micheal,Hernandez,M,6139 Mark Rapid Apt. 651,Christine,ND,58015,46.5522,-96.7909,291,Television floor manager,01/05/1991,a76cebd452aed53f6ec551e073f2463d,1374318726,46.109376,-97.552252
8,8,478016,14/12/2020 18:15,3556610000000000.0,fraud_Rau and Sons,grocery_pos,83.09,Jose,Vasquez,M,572 Davis Mountains,Lake Jackson,TX,77566,29.0393,-95.4401,28739,Futures trader,27/12/1999,c6c3fa9b9974e22c5af43d516cf8f605,1387044918,29.117266,-95.861754
9,9,135561,07/08/2020 22:07,4926380000000000.0,fraud_Treutel-King,travel,2.38,Claire,Davis,F,83685 Matthew Center Suite 870,Cherokee Village,AR,72529,36.3011,-91.5281,4726,Pharmacologist,07/06/1977,a5625d1d91337bbcae6767929cbd5bfd,1375913264,35.664974,-91.192221
